ind1,ind2,SRI.observed,year,dyad
ind7,ind5,0.085992908,2011,ind5_ind7
ind8,ind5,0.065028902,2011,ind5_ind8
ind9,ind5,0.045742435,2011,ind5_ind9
ind10,ind5,0.029147982,2011,ind10_ind5
ind11,ind5,0,2011,ind11_ind5
ind12,ind5,0.023630505,2011,ind12_ind5
ind13,ind5,0.063006301,2011,ind13_ind5
ind14,ind5,0.055782313,2011,ind14_ind5
ind15,ind5,0.02340824,2011,ind15_ind5
ind16,ind5,0.038192234,2011,ind16_ind5
ind17,ind5,0.070330969,2011,ind17_ind5
ind18,ind5,0.054153846,2011,ind18_ind5
ind19,ind5,0.006544503,2011,ind19_ind5
ind20,ind5,0.01951952,2011,ind20_ind5
ind21,ind5,0.014084507,2011,ind21_ind5
ind22,ind5,0.059659091,2011,ind22_ind5
ind23,ind5,0.057427259,2011,ind23_ind5
ind24,ind5,0.048519219,2011,ind24_ind5
ind25,ind5,0.069293478,2011,ind25_ind5
ind26,ind5,0.064261556,2011,ind26_ind5
ind27,ind5,0.056824513,2011,ind27_ind5
ind28,ind5,0.049362174,2011,ind28_ind5
ind29,ind5,0.058628319,2011,ind29_ind5
ind30,ind5,0.021413276,2011,ind30_ind5
ind31,ind5,0.051282051,2011,ind31_ind5
ind32,ind5,0.007075472,2011,ind32_ind5
ind33,ind5,0.023446659,2011,ind33_ind5
ind34,ind5,0.060833903,2011,ind34_ind5
ind35,ind5,0.026467204,2011,ind35_ind5
ind36,ind5,0.052833078,2011,ind36_ind5
ind37,ind5,0.06713555,2011,ind37_ind5
ind38,ind5,0.104318937,2011,ind38_ind5
ind39,ind5,0.038265306,2011,ind39_ind5
ind40,ind5,0.06622879,2011,ind40_ind5
ind41,ind5,0.021526419,2011,ind41_ind5
ind42,ind5,0.047473201,2011,ind42_ind5
ind43,ind5,0.159676233,2011,ind43_ind5
ind44,ind5,0.062200957,2011,ind44_ind5
ind45,ind5,0.048638132,2011,ind45_ind5
ind46,ind5,0,2011,ind46_ind5
ind47,ind5,0.045454545,2011,ind47_ind5
ind48,ind5,0.061285501,2011,ind48_ind5
ind49,ind5,0.007598784,2011,ind49_ind5
ind50,ind5,0.040683962,2011,ind5_ind50
ind51,ind5,0.048231511,2011,ind5_ind51
