Year,Dyad,SRI observed,SRI expected,Home range overlap
2017,Ind30_Ind22,0.43223717,0.141053718,0.938219928
2017,Ind30_Ind12,0.191948814,0.135356844,0.850104951
2017,Ind15_Ind30,0.173329826,0.175204058,0.877513444
2017,Ind30_Ind34,0.16972973,0.21436252,0.909193232
2017,Ind30_Ind20,0.103327966,0.147755194,0.797106446
2017,Ind24_Ind30,0.544096728,0.115296206,0.978776005
2017,Ind25_Ind30,0.48539823,0.128828119,0.96196772
2017,Ind30_Ind23,0.387435835,0.167665862,0.947965725
2017,Ind11_Ind30,0.18505247,0.300402379,0.816333446
2017,Ind30_Ind28,0.500601974,0.126691951,0.976110285
2017,Ind1_Ind13,0.037652011,0.177805817,0.580942808
2017,Ind5_Ind13,0.037629811,0.058957533,0.588813009
2017,Ind6_Ind13,0.033752328,0.060303692,0.581726637
2017,Ind3_Ind13,0.046485543,0.200053797,0.569636122
2017,Ind13_Ind9,0.032457709,0.19530833,0.588122171
2017,Ind13_Ind7,0.0379667,0.191766081,0.589920731
2017,Ind2_Ind13,0.041452592,0.059984429,0.579843928
2017,Ind4_Ind13,0.038234184,0.193787536,0.570735833
2017,Ind8_Ind13,0.045498392,0.189099213,0.591573477
2017,Ind10_Ind13,0.218932039,0.18125821,0.853677453
2017,Ind19_Ind13,0.098138298,0.183062936,0.765625199
2017,Ind14_Ind13,0.174595012,0.066865428,0.905248065
2017,Ind22_Ind13,0.439712919,0.129263124,0.943582146
2017,Ind12_Ind13,0.190356605,0.066685159,0.85792437
2017,Ind15_Ind13,0.192938209,0.148015803,0.879637838
2017,Ind34_Ind13,0.216781366,0.194984657,0.919353902
2017,Ind20_Ind13,0.113653699,0.153038379,0.795867782
2017,Ind24_Ind13,0.503769401,0.137186897,0.980615097
2017,Ind25_Ind13,0.481018028,0.138024273,0.964353882
2017,Ind13_Ind23,0.381273234,0.177248792,0.953345459
2017,Ind11_Ind13,0.207840237,0.210509501,0.82385211
2017,Ind13_Ind28,0.478844404,0.061339177,0.984897296
2017,Ind30_Ind13,0.510407031,0.186097805,0.97672527
2017,Ind1_Ind26,0.017496477,0.062610576,0.563781648
2017,Ind5_Ind26,0.019443761,0.332454723,0.572091995
2017,Ind6_Ind26,0.015811665,0.334683895,0.564269895
2017,Ind3_Ind26,0.026451047,0.067789405,0.551733931
2017,Ind26_Ind9,0.016859412,0.134507729,0.571847098
2017,Ind26_Ind7,0.019189224,0.142441849,0.573298106
2017,Ind2_Ind26,0.021101993,0.331623307,0.562165753
2017,Ind4_Ind26,0.020677407,0.126388193,0.553187688
2017,Ind8_Ind26,0.024414063,0.054428138,0.57550165
